Kabupaten/Kota,Jumlah Penduduk,Laju Pertumbuhan,Kepadatan Penduduk,TPAK,TPT,Jumlah penduduk_log,Kepadatan Penduduk_log,Cluster
Kab.Pacitan,589034,0.1,411,80.82,1.4,13.286240883618687,6.021023349349527,0.0
Kab.Ponorogo,966111,0.37,681,79.91,3.85,13.781035048502883,6.525029657843462,0.0
Kab.Trenggalek,747614,0.47,598,77.67,3.86,13.524643418567718,6.395261598115449,0.0
Kab.Tulungagung,1119588,0.57,978,74.72,4.03,13.928472211637693,6.88653164253051,0.0
Kab.Blitar,1273451,0.84,730,75.82,4.49,14.057241881289661,6.594413459749778,0.0
Kab.Kediri,1702262,0.85,1117,69.65,4.71,14.347469100267146,7.0192966537150445,0.0
Kab.Malang,2755438,0.79,793,73.86,5.0,14.829087334517293,6.677083461247136,0.0
Kab.Lumajang,1152264,0.61,641,69.64,3.08,13.957240128506266,6.464588303689961,0.0
Kab.Jember,2620135,0.68,791,75.78,3.07,14.778736782787032,6.674561391814426,0.0
Kab.Banyuwangi,1764540,0.69,491,73.74,3.94,14.383401157871715,6.198478716492308,0.0
Kab.Bondowoso,796300,0.54,512,77.28,2.55,13.58773253405286,6.240275845170769,0.0
Kab.Situbondo,704243,0.56,426,78.51,3.02,13.464880166000516,6.056784013228625,0.0
Kab.Probolinggo,1193272,0.73,692,76.72,2.92,13.992210509771423,6.541029999189903,0.0
Kab.Pasuruan,1669400,0.82,1118,74.72,4.22,14.327975437416205,7.020190708311925,0.0
Kab.Sidoarjo,2193692,1.1,3030,69.53,5.75,14.601096982952768,8.016647877057803,1.0
Kab.Mojokerto,1162696,0.81,1181,74.24,3.49,13.966252864452116,7.074963197966044,0.0
Kab.Jombang,1373793,0.88,1238,72.64,3.28,14.133086813304427,7.122059881629142,0.0
Kab.Nganjuk,1138604,0.65,883,73.19,3.84,13.945314386847285,6.784457062637643,0.0
Kab.Madiun,760948,0.47,683,73.97,3.22,13.542321617515292,6.52795791762255,0.0
Kab.Magetan,689209,0.57,976,74.7,3.26,13.44330129310697,6.884486652042782,0.0
Kab.Ngawi,887172,0.41,636,74.58,2.26,13.695795281732844,6.456769655572163,0.0
Kab.Bojonegoro,1330516,0.46,575,78.61,3.9,14.101078146469701,6.3561076606958915,0.0
Kab.Tuban,1231374,0.58,624,72.86,3.44,14.02364198915798,6.437751649736401,0.0
Kab.Lamongan,1386390,0.65,791,74.77,4.29,14.142214525729456,6.674561391814426,0.0
Kab.Gresik,1377287,1.04,1096,67.99,5.47,14.135626906168708,7.00033446027523,0.0
Kab.Bangkalan,1112956,1.02,855,68.94,5.31,13.922530995189705,6.752270376141742,0.0
Kab.Sampang,1027538,1.23,837,77.46,2.44,13.842677180836588,6.731018100482083,0.0
Kab.Pamekasan,893327,1.05,1123,79.85,1.33,13.702709093651855,7.024649030453636,0.0
Kab.Sumenep,1159397,0.65,556,80.0,1.64,13.963411462856094,6.322565239927284,0.0
Kota Kediri,301202,1.04,4480,70.64,3.76,12.615539735017636,8.407601514786142,2.0
Kota Blitar,156330,0.99,4709,75.95,4.28,11.959730833275788,8.457443187010464,2.0
Kota Malang,879873,0.88,7921,69.85,5.69,13.687533994384712,8.977398978181862,1.0
Kota Probolinggo,252085,1.07,4610,68.44,4.93,12.437525578115523,8.436200032206706,2.0
Kota Pasuruan,222334,1.41,5701,75.63,4.59,12.311940532453429,8.648572269472618,2.0
Kota Mojokerto,138613,0.96,6855,70.02,4.66,11.839448370737774,8.832879460277615,2.0
Kota Madiun,203552,0.89,5634,71.23,4.29,12.223681692216031,8.636752426473876,2.0
Kota Surabaya,2931611,0.42,8727,70.59,4.84,14.89106300035333,9.074291527512907,1.0
Kota Batu,225120,1.17,1159,80.53,3.53,12.324393314413687,7.05617528410041,0.0
